what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1351848694375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1351848694718
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1351848709133
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1351848709226
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1351848709226
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1351848710989
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1351848711254
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1351848711332
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1351848838739
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1351848840283
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351848849706
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351848954366
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351848983101
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351848989404
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351849021462
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351849043380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351849058886
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351849070103
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351849099462
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351849122285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351849173437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351849709791
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351849710290
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351849910534
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351849915183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351849916727
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1351849919145
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1351849920097
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1351849920112
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1351849920159
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1351849920159
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1351849920237
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1351849920253
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1351849920565
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1351849923263
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351849924137
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351850132776
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351850133213
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351850133260
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351850134866
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351850135990
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351850136348
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1351850137004
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1351850137004
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1351850137004
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1351850137004
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1351850137004
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1351850137004
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1351850137019
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1351850137019
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1351850137019
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1351850137035
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1351850137066
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1351850137066
